Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,2.2uF 0402,C_0402_1005Metric,13.995400,-21.259800,180.000000,top
C2,100nf capacitor,C_0402_1005Metric,10.769600,-28.321000,0.000000,top
C3,100nf capacitor,C_0402_1005Metric,4.927600,-13.309600,0.000000,top
C4,100nf capacitor,C_0402_1005Metric,5.410200,-18.465800,180.000000,top
C5,100nf capacitor,C_0402_1005Metric,3.723640,-26.349960,45.000000,top
C6,1uf capacitor,C_0402_1005Metric,15.316200,-6.858000,135.000000,top
C7,1uf capacitor,C_0402_1005Metric,13.589000,-19.812000,270.000000,top
C8,100nf 0402,C_0402_1005Metric,2.514600,-23.901400,180.000000,top
C9,100nf 0402,C_0402_1005Metric,9.855000,-29.273000,0.000000,top
C10,22pf capacitor,C_0402_1005Metric,3.720000,-30.460000,90.000000,top
C11,22pf capacitor,C_0402_1005Metric,9.250000,-31.050000,270.000000,top
D1,1N4002,D_SOD-123,15.036800,-1.270000,90.000000,top
R1,5.1K 0402,R_0402_1005Metric,10.490200,-8.077200,90.000000,top
R2,5.1K 0402,R_0402_1005Metric,6.710680,-8.696960,90.000000,top
R3,22ohm,R_0402_1005Metric,7.645400,-16.154400,90.000000,top
R4,22ohm,R_0402_1005Metric,8.661400,-16.154400,90.000000,top
R5,1.5K 0402,R_0402_1005Metric,6.629400,-16.154400,270.000000,top
R6,10K 0402,R_0402_1005Metric,7.120000,-33.700000,180.000000,top
R7,100k 0402,R_0402_1005Metric,7.518400,-47.498000,0.000000,top
SW1,Boot Mode,SW_Push_SPST_NO_Alps_SKRK,7.010400,-44.196000,270.000000,top
SW2,Reset Switch,SW_Push_SPST_NO_Alps_SKRK,10.718800,-44.196000,90.000000,top
U1,STM32F411CEUx,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,8.890000,-23.149560,0.000000,top
U2,XC6206PxxxMR,SOT-23,14.147800,-8.915400,270.000000,top
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-Assembly,8.890000,1.447800,180.000000,top
Y1,8Mhz 3225,Crystal_SMD_3225-4Pin_3.2x2.5mm,6.640000,-30.650000,0.000000,top
